id,name,requirements,tasks,summary,pageUrl
JOB12906921981,Senior DevOps Engineer,"Experience integrating environments for both web projects (Drupal, AEM, Sitecore), as well as mobile or interactive projects","Normalized architectures that take into account performance, maintainability, while respecting the best practices,Standardized and pre-configured dev and QA environments relying on templates,Continuous Integration / Continuous Deployment, etc.,Audit our current cloud infrastructure and recommend paths for improvement,Review existing clients’ projects/architecture/infrastructure to support the respective development teams,Analyze our current build processes, especially around Technical Architecture Definition and Sprint 0, to identify how this process can be optimized,Develop a skill set across all the technical stacks that Code & Theory is using: CMS, Ecommerce, AI/ML/NLP, AR/VR, experiential, etc.,Interact with Technical Directors very early in the delivery process (as early as the definition phase),Rollout the improvements that have been identified (potential topics: CI/CD, Atlassian, AWS/Azure, Server provisioning, etc.),Mentor Technical Directors and other DevOps engineers to expand our knowledge base in the field and establish best practices,5-7 years of work experience; understanding of typical agency processes is beneficial but not required,Extensive sysadmin and devops experience,Designing and operating highly available software in large distributed and virtual environments,Automation should be in your DNA,Working on continuous deployments in a rapid startup or agency environment,Robust capabilities in Linux, Unix, MacOX and Windows operating systems,Deep understanding of complex network topologies, cloud/laas environment (AWS, Azure), virtualization software (VMWare) and build systems (Jenkins, Maven, Ant),Tools including: orchestration (Kubernetes), configuration management (Ansible, Chef), containerization (Vagrant, Docker) and monitoring/alert (New Relic, Nagios),Experience setting up platforms and processes in a multi-project, multi-client environment","Tech
Senior DevOps Engineer
DevOps Engineers at Code & Theory support the engineering team globally....",https://www.sitepoint.com/jobs/code-and-theory/senior-devops-engineer
JOB13017663217,IoT DevOps Engineer,,"Maintaining and troubleshooting a nationwide fleet of IoT devices, including a software deployment pipeline for those devices,Providing requirements to software developers for building a monitoring and management platform,Supporting installers as they provision and configure IoT devices,Providing quick resolutions to device issues in the field,Strong understanding of computer networking and the Linux operating system,Experience with physical infrastructure deployments,Understanding of AWS cloud services,Ability to build code pipelines using Jenkins, Github, etc,Proficiency with programming languages like Javascript and Python,Ability to communicate clearly with engineers about complex technical requirements,3+ years of experience managing Linux environments,3+ years of experience with network design and implementation,1+ years of experience with IoT device management,Experience connecting devices and applications to cloud infrastructure (preferably AWS),Experience with agile Software Development and modern DevOps practices",If this is your first time applying you will need to create a candidate account when you click on ap...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Czno0-YjsSdnp8i6-pk2KeJSEdwRjH1AAXcWDXZkS91FZ-gCZUI0Rog9xJqU0VABxeefl_JVQm1kBOdpkxVNt-nizJjEnOmMafCg9UFRJrBz6wWkXVrRe5P6y-OHnboy4rW4i8FJ0KAn_kCoW-ofxLX-de0IZPmeoswxF6g3nXlSkhUQPJ-STZJ231aBsbfMRiwZpvg_fB7yy9WKJxfJqzVklKxzsYmKpGhAy4K36RC0Fzf2l8XO3llQH4i6zIpE5WHSkOZ-rrA_NLWhYDf3LdQbiu2v3pwXF7xWJZgeRAl1kuILflm6NBretNtcAq2Zcp1uRHDhBYPlcwXQdwqiCZF1mfSYDV6xSgjTl6mHvCcq6769lRgGEZWCr7D-Xj8Nlb3uSZ0AqvB0iIVzd_uhIqP6ykvJrYH2igxqvA0m1MnTMPQ5NQaw67eLVLOOEPufmrBgCl7yMaUTHprSemFXWwcBNcq3JCtQL7qDea5QjcHW1mb_53Cbd2_EqEVGPtTZY7a3PB84nFbs_g8Ldzh0At&vjs=3&p=6&sk=&fvj=0
JOB13045753974,"REMOTE Senior Varnish DevOps Engineer- AWS, Nginx, Varnish REQUIRED",,,"
Job description
Surge Forward is looking for smart, self-motivated, experienced, senior-level consu...",https://stackoverflow.com/jobs/153118/remote-senior-varnish-devops-engineer-aws-nginx-surge
JOB13093595201,DevOps Engineer - Security,Create scripts and tools with the purpose of automating tasks within network and share knowledge with the team.,"A minimum of 4 years experience as a Systems or DevOps Engineer in a Linux based environment.,Solid foundation in Linux administration and troubleshooting.,Proven scripting experience, preferably with Shell, Perl and/or Python for automation purposes.,Experience with configuration management, preferably with tools such as Puppet or Chef.,Analyze, monitor, configure, and maintain the existing system and identify possibilities for improvement and implementation of security concepts and measures.,Experience in design, implementation, migrations and support of large global and distributed infrastructures.","
Job description
As a Linux System Engineer and member of our Security Team you’ll be given the free...",https://stackoverflow.com/jobs/165474/devops-engineer-security-bookingcom
JOB14047807215,IoT DevOps Engineer,,"Maintaining and troubleshooting a nationwide fleet of IoT devices, including a software deployment pipeline for those devices,Providing requirements to software developers for building a monitoring and management platform,Supporting installers as they provision and configure IoT devices,Providing quick resolutions to device issues in the field,Strong understanding of computer networking and the Linux operating system,Experience with physical infrastructure deployments,Understanding of AWS cloud services,Ability to build code pipelines using Jenkins, Github, etc,Proficiency with programming languages like Javascript and Python,Ability to communicate clearly with engineers about complex technical requirements,3+ years of experience managing Linux environments,3+ years of experience with network design and implementation,1+ years of experience with IoT device management,Experience connecting devices and applications to cloud infrastructure (preferably AWS),Experience with agile Software Development and modern DevOps practices",If this is your first time applying you will need to create a candidate account when you click on ap...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Czno0-YjsSdnp8i6-pk2KeJSEdwRjH1AAXcWDXZkS91FZ-gCZUI0Rog9xJqU0VABxeefl_JVQm1kBOdpkxVNt-nizJjEnOmMafCg9UFRJrBz6wWkXVrRe5P6y-OHnboy4rW4i8FJ0KAn_kCoW-ofxL6MMMI25IPoAk5Z60A7D_grgDIY4Z5a97ES6qzVe53P-NnI8qkG-D4ILq4bYtTA36RNFDbazAP87Lyj81nRtwP2E-qtjheNRAcf2wXTvm-PQwZcx9xkmIJd5tMfUIWQ_Fu8dxv-RjObSgSBgOmPbMLdidj-1_uMvicfNKuR_Fsua5kT-QdL5eIOjPfRRnI9iev--3MCmIhZ0vGjeJ95t-ymBureKokwIzQgF4VNNZLTp-aZnLOgqAuOBuBmq-YOH1_8SNE9ou8mlTR-KVONbKWy10KYTNjMBAL4cBOB-S6TWnQpFiUPCDLheuWiAZTGGeoHyMiMlloJkKJxAMxonz8z4ruCbajbifhRDeyHqpFPWV3VotGsU1sV00IRAB0n_r&vjs=3&p=5&sk=&fvj=0
JOB14350436067,IoT DevOps Engineer,United States (Required),"Write code in Go, Python, and Bash to automate operational procedures,Collaborate with software developers on application design, with the aim of meeting security, performance, and operations goals,Respond to system emergencies as part of an on-call rotation, troubleshooting or escalating to software engineers as appropriate,Keep pace with industry best practices for automation and monitoring processes.,Collaborate with local and overseas teams on production and development system monitoring,Work with development team to improve continuous integration processes,2+ years of professional experience managing internet facing servers and/ or cloud infrastructure.,Demonstrable experience using and administrating Linux on the command line,Demonstrable experience in a high-level programming language (e.g. Python, Go, Ruby),Firm grasp of the technologies that underlie the Internet (TCP/IP, DNS, and HTTPS to name a few),Experiencemanaging virtual servers in a high-availability production environment (experience with AWS a plus),Ability to master new technologies quickly,Ability to work in a fast paced environment with evolving priorities,Excited about working in a team-oriented, collaborative environment,Excellent written and oral communication skills, comfortable communicating with internal and customer stakeholders,Professional skill managing internet facing servers/cloud: 2 years (Required),Firm grasp of TCP/IP, DNS, and HTTPS, etc.: 1 year (Required),Administrating Linux on the command line: 1 year (Required),High-level programming language (e.g. Python, Go, Ruby): 1 year (Required)","POSITION SUMMARY:
The DevOps Engineer will be responsible for ensuring the stability of our producti...",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWKBrkXqfe2esiICCf7GQhlizeI7i9FKF0XAfjs7UiPyQmelNDisdJw7h3fU2fP4MtQmqfEmLqHMa0mLcMTNQ3RoDlzh6akEG16e18SSVl1b4UaLv_cRB78Tdl3MrXUz0q0zJIfbdQjue78IpDMshtZLau5xhc1O4bxUo42zo87fkyfWICPQ6CCJBAONAXXW2wL7jmOVNV80PEZfp9_j9xdEAHgKQy4RlKwDjrNsz_z0eMwwN8ElhqA9jbyfjMOfcS0jyGSzA4hFQMOqOE8UNrbYVRn7d59sEBBGXqKCGGkctbM8Q5p7a50H4a-yF-RlhCQ6T96acmUWBmneEAPakCy8j-aiI6zAYsTxFkOZZlvYejYQJ1Kiim3Tn1sEdh7Qeq7qfEglcqusVLwVwzqKtcuUm1UVIJ2tQ=&vjs=3&p=5&sk=&fvj=1
JOB15792957564,DevOps Engineer,Be Part of a Small Team (to Start)— Which Translates To You Having A Big Personal Impact,"Manage CI/CD pipeline to deploy our SaaS products,Monitor production systems using modern tooling,Leverage IAC to deploy infrastructure in a repeatable and reliable manner,Assist with managing database services in AWS including PostgreSQL RDS, ElasticCache, and others,Assist our Data Services team with ETL pipeline and infrastructure needs,Provide advice and support to developers and testers,Communicate effectively and participate with team members in an Agile environment,Perform peer code reviews and ensure contributions are of a high quality,Work on any task and help solve problems — be humble and scrappy!,5+ Years experience as a Software Engineer, DevOps, SRE, or System Engineer,1+ Years in a DevOps or SRE position,Production experience managing, deploying, and monitoring infrastructure in a cloud or other virtualized environment,Very comfortable with Docker, containerization in production,Experience creating and managing a CI / CD pipeline,Fluent in at least one scripting language,Fluent with RDBMS fundamentals and concepts,Deep experience with AWS and its various services,Experience with Kubernetes,Experience with Infrastructure as Code, specifically Terraform and Ansible,Experience with Jenkins,Experience with working with ETL pipelines,Experience in the transportation industry,Experience working in a high-growth early-stage technology startup company,Competitive Compensation Package Including Equity,Medical, Dental, and Vision Insurance,401(k) with a Company match,Regular Company Outings and Events,Kickstarter Company Breakfast every Monday / Lunch Served up Every Friday,A Dynamic and Supportive Environment,Professional Development Opportunities","
Job description
Employer's note: Full-remote during COVID restrictions, preference long term to be ...",http://stackoverflow.com/jobs/469799/devops-engineer-idelic-inc
JOB17125271639,DevOps Engineer,,,"
Job description
Interpersonal Frequency (I.F.) is seeking a full-time DevOps Engineer to add to our...",http://stackoverflow.com/jobs/418211/devops-engineer-interpersonal-frequency
JOB18464683533,DevOps Engineer,Gym membership compensation,"Work closely with Sophos Central platform teams to manage the infrastructure architecture with systems that support dozens of Java-based services across multiple regions spread out across the globe.,Work with teams to improve scalability, handle rapid growth, and limit exposure to single points of failure and security vulnerabilities.,Update and maintain tools to support the software engineers to make it easy for them to roll out new code, test new features, and do load and performance testing.,Enhance management and monitoring capabilities for all cloud services.,Work with platform, operations, and application teams to continuously improve the CI/CD processes.,Significant experience as a DevOps engineer or related role where you were designing, planning, and managing cloud infrastructure.,Familiarity with writing automation scripts and build pipelines.,Solid understanding of relational and non-relational database systems.,Strong understanding and familiarity with the fundamentals of UNIX systems administration and security.,Experience with automation and/or cloud orchestration tools such as Ansible or Terraform.,Knowledge of containerization technologies such as Docker.,Experience conducting performance investigations and tuning.,Experience with AWS services.,Medical insurance,Dental insurance,Vision insurance,Life insurance,Long-term disability insurance,401k plan,Vacation time","
Role
Sophos is hiring a talented DevOps Engineer to help drive the adoption of DevOps principles ac...",https://www.sophos.com/it-it/about-us/careers/united-states/va-devops-engineer.aspx
JOB20410558534,"REMOTE Senior DevOps Engineer- Kubernetes, GCP Required",,,"
Job description
Surge Forward is looking for smart, self-motivated, experienced, senior-level consu...",https://stackoverflow.com/jobs/153118/remote-senior-devops-engineer-kubernetes-gcp-surge
JOB25027806930,IoT DevOps Engineer,,"Maintaining and troubleshooting a nationwide fleet of IoT devices, including a software deployment pipeline for those devices,Providing requirements to software developers for building a monitoring and management platform,Supporting installers as they provision and configure IoT devices,Providing quick resolutions to device issues in the field,Strong understanding of computer networking and the Linux operating system,Experience with physical infrastructure deployments,Understanding of AWS cloud services,Ability to build code pipelines using Jenkins, Github, etc,Proficiency with programming languages like Javascript and Python,Ability to communicate clearly with engineers about complex technical requirements,3+ years of experience managing Linux environments,3+ years of experience with network design and implementation,1+ years of experience with IoT device management,Experience connecting devices and applications to cloud infrastructure (preferably AWS),Experience with agile Software Development and modern DevOps practices",If this is your first time applying you will need to create a candidate account when you click on ap...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Czno0-YjsSdnp8i6-pk2KeJSEdwRjH1AAXcWDXZkS91FZ-gCZUI0Rog9xJqU0VABxeefl_JVQm1kBOdpkxVNt-nizJjEnOmMafCg9UFRJrBz6wWkXVrRe5P6y-OHnboy4rW4i8FJ0KAn_kCoW-ofxLHjXGFqabeebHpXHlpwbF5OPLAYWwVBqYgAVa_cDc_cYHGVs_r3K_YhbwHc289p-9WvhayhEv1vcJ-QHENuLl9VpsCcjrkSnIakATCqRDps0EF0AJykj29g9YnBLvJKztSBijJvSE4ylC4bAYtkVmvy1Dl21FUu85_3tNrCF6gkJ17DcOn0AbDn0eCquscLCckPJrTyjibG3DLl6y_I1d6DqinojfbA-VT5tPmBmYJpzyZxuXKYYl51Vd8S8Rg01PnCv9VEfMxb2jNCDhunSWJ7TNJ8ETMVgeJAj50d9e0x4_oVSlU7oesiYJbt5wbKzdhfzvOzDOV0LPsX8KR5R3ERaqH705HhhR9-a3cAAfkau2pAcdXo5cRe7TbfRCk6Rd&vjs=3&p=3&sk=&fvj=0
JOB26773399663,Senior DevOps Engineer (m/f/d),"A degree in Computer Science or a related field. A relevant practical experience in programming would also be advantageous,Excellent time management and prioritizing skills,Ability to work independently with little or no supervision,A mentoring and team player attitude towards your colleagues,Good written and verbal communication skills in English, German is a plus,Full time availability and eligibility to work in Germany,Be part of a dynamic, international, ambitious team of talented people,A great opportunity for professional growth and self-improvement on a strategic and creative level,Entrepreneurial flexibility, autonomy and flat hierarchies,A fast-paced, multi-faceted working environment and an exciting company product,A competitive pay,A perks and benefits program available for all team members","Setup and maintenance of Python, Node.js, and applications on Amazon Web Services (AWS),Setup and maintenance of alerting and monitoring tools like e.g. Prometheus,Support various teams with Docker and Docker Compose knowledge,Maintain and develop infrastructure as code with Terraform,Maintain and develop Continuous Integration and Continuous Delivery with GitLab,Close collaboration with the AI teams on technical implementation solutions","
XAIN, the eXpandable AI Network, is a Berlin-based technology company. We tackle the dilemma of unl...",https://stackoverflow.com/jobs/224361/senior-devops-engineer-m-f-d-xain-ag
JOB28189485148,"DevOps Engineer (AWS, Jenkins, Terraform ): Remote (United States only)",The chance to work side-by-side with thought leaders in emerging tech,"Give back to the community via open source and blog posts,Teach and be taught: Modus creates active teams that work in internal and external projects together, giving opportunities to stay relevant with the latest technologies and learning from experts worldwide,Interact directly with internal and external clients to represent Modus and its value,Competitive compensation,Health insurance coverage and 401k,Comprehensive dental, vision, and life insurance plans,Remote work,The chance to work side-by-side with thought leaders in emerging tech,Competitive compensation,100% Remote work (could vary according to the client's needs),Travel according to client's needs","
Job description
Experience: Senior level
Hello! Are you ready to Work from Home and transform your ...",http://stackoverflow.com/jobs/451028/devops-engineer-aws-jenkins-terraform-modus-create
JOB30343153396,IoT DevOps Engineer,,"Maintaining and troubleshooting a nationwide fleet of IoT devices, including a software deployment pipeline for those devices,Providing requirements to software developers for building a monitoring and management platform,Supporting installers as they provision and configure IoT devices,Providing quick resolutions to device issues in the field,Strong understanding of computer networking and the Linux operating system,Experience with physical infrastructure deployments,Understanding of AWS cloud services,Ability to build code pipelines using Jenkins, Github, etc,Proficiency with programming languages like Javascript and Python,Ability to communicate clearly with engineers about complex technical requirements,3+ years of experience managing Linux environments,3+ years of experience with network design and implementation,1+ years of experience with IoT device management,Experience connecting devices and applications to cloud infrastructure (preferably AWS),Experience with agile Software Development and modern DevOps practices",If this is your first time applying you will need to create a candidate account when you click on ap...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Czno0-YjsSdnp8i6-pk2KeJSEdwRjH1AAXcWDXZkS91FZ-gCZUI0Rog9xJqU0VABxeefl_JVQm1kBOdpkxVNt-nizJjEnOmMafCg9UFRJrBz6wWkXVrRe5P6y-OHnboy4rW4i8FJ0KAn_kCoW-ofxL0vdMCOF5MxuYuEgwxqnL3UUFylbEiXB5cD-3eJm5F5A-_CkETYZkpfjyC6-zU9qh4y3VfEOel5zHBzMtVq2yFBVwtKX0bU5nkqEB-wQDPtj4DHxSDkdW733yT_XAxLhJWcuP9aQbvD8LoGB5mXwJxKs_AYZPi5ELM9Vr3y94jtELB_c_PtJaOmSuT_pZSrm_d-gH8MaDcOT6hLMG5GR_vh3_IbNWKKVp8jiodW1gmdXZBa_zn4dY_GIRqBo7ufsQX4oZJya5MjiqtVisBMRLcO4BEgpmqj6SXTxh3JQA_VZfnKLJD3W9lro7ldlnMmFJHOj3i2zlwDQP8I7bVcie4l1c1L_Q9Yi1AouQ7eQ_YDAwznvistS_voBlnC9vkVn0&vjs=3&p=5&sk=&fvj=0
JOB31283512367,"Principal Devops Engineer Jobs in Houston, TX",,"The specific accommodation requested to complete the employment application.,The name of the organization being represented,The location of the organization","
The Home Depot is committed to being an equal employment employer offering opportunities to all job...",https://militaryjobs.homedepot.com/principal-devops-engineer/jobs-in/houston/texas/usa/jobs/?utm_source=.JOBS+RSS+Feed-DE&utm_campaign=.JOBS+RSS+Feed&utm_medium=.JOBS+Universe&vs=25
